Name,Draft Year,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Body Fat,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Zydrunas Ilgauskas ,1996,"7' 3""",NA,258,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Constantin Popa ,1995,"7' 2.5""",NA,217,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,53
Dikembe Mutombo ,1991,"7' 1.25""",NA,228,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Vlade Divac ,1989,"7' 1""",NA,248,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,26
Andrew Betts ,1998,"7' 0.75""",NA,257,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,50
Alexander Koul ,1998,"7' 0""",NA,285,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Greg Ostertag ,1995,"7' 0""",NA,279,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28
Andrea Bargnani ,2006,"7' 0""","7' 1.25""",249,NA,"9' 2""",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Luther Wright ,1993,"7' 0""",NA,312,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Todd MacCulloch ,1999,"6' 11.75""","7' 1.5""",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,47
Jerome James ,1998,"6' 11.5""",NA,315,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,36
Raef LaFrentz ,1998,"6' 11.5""",NA,235,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Vin Baker ,1993,"6' 11.5""",NA,234,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8
Travis Knight ,1996,"6' 11.5""",NA,227,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29
Steve Hamer ,1996,"6' 11.25""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,38
Brad Miller ,1998,"6' 11""",NA,255,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Robert Werdann ,1992,"6' 11""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,46
Kevin Garnett ,1995,"6' 11""",NA,217,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5
Stanley Roberts ,1991,"6' 11""",NA,293,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23
Erick Dampier ,1996,"6' 11""",NA,268,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
Tim Duncan ,1997,"6' 11""",NA,249,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Marcus Camby ,1996,"6' 11""",NA,223,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
Peter Cornell ,1998,"6' 10.5""",NA,244,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Daniel Santiago ,1998,"6' 10.5""",NA,242,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Keon Clark ,1998,"6' 10.5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,13
Sean Daugherty ,1998,"6' 10.5""",NA,237,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Elmore Spencer ,1992,"6' 10.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25
Cherokee Parks ,1995,"6' 10.5""",NA,247,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12
Yinka Dare ,1994,"6' 10.5""",NA,271,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14
Eric Mobley ,1994,"6' 10.5""",NA,259,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Kelvin Cato ,1997,"6' 10.5""",NA,241,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
Nazr Mohammed ,1998,"6' 10""",NA,221,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29
Jelani McCoy ,1998,"6' 10""",NA,245,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,33
Sean Marks ,1998,"6' 10""",NA,242,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,44
Brett Robisch ,1998,"6' 10""",NA,251,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Christian Laettner ,1992,"6' 10""",NA,239,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Pj Brown ,1992,"6' 10""",NA,225,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29
Julius Michalik ,1995,"6' 10""",NA,222,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Sharone Wright ,1994,"6' 10""",NA,279,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Stacey King ,1989,"6' 10""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Randell Jackson ,1998,"6' 9.75""",NA,210,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Rasheed Wallace ,1995,"6' 9.75""",NA,230,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Russell Larson ,1995,"6' 9.75""",NA,219,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Horatio Llamas ,1996,"6' 9.75""",NA,282,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mickey Curley ,1998,"6' 9.5""",NA,260,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Evan Wiley ,1998,"6' 9.5""",NA,256,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Tom Gugliotta ,1992,"6' 9.5""",NA,241,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Joe Smith ,1995,"6' 9.5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Antonio McDyess ,1995,"6' 9.5""",NA,230,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
Alan Henderson ,1995,"6' 9.5""",NA,235,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,16
Loren Meyer ,1995,"6' 9.5""",NA,253,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24
Erik Meek ,1995,"6' 9.5""",NA,243,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,41
Ed Stokes ,1993,"6' 9.5""",NA,256,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35
Bison Dele ,1991,"6' 9.5""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
Keith Van Horn ,1997,"6' 9.5""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2
Tim Thomas ,1997,"6' 9.5""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7
Tony Battie ,1997,"6' 9.5""",NA,227,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5
Jahidi White ,1998,"6' 9""",NA,293,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,43
Pat Garrity ,1998,"6' 9""",NA,237,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Brian Skinner ,1998,"6' 9""",NA,255,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,22
J.R. Henderson ,1998,"6' 9""",NA,226,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,56
Malcom Mackey ,1993,"6' 9""",NA,254,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27
Conrad McRae ,1993,"6' 9""",NA,238,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,38
Austin Croshere ,1997,"6' 9""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12
Pete Chilcutt ,1991,"6' 9""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27
Cliff Robinson ,1989,"6' 9""",NA,223,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11
Trey Lyles ,2014,"6' 9""","6' 10.25""",235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No
Ryan Bowen ,1998,"6' 8.75""",NA,212,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,55
Steve Goodrich ,1998,"6' 8.75""",NA,239,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Don MacLean ,1992,"6' 8.75""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Theo Ratliff ,1995,"6' 8.75""",NA,214,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Antoine Walker ,1996,"6' 8.75""",NA,234,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Alan Tomidy ,1996,"6' 8.75""",NA,252,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Walter McCarty ,1996,"6' 8.75""",NA,212,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Shawn Kemp ,1989,"6' 8.75""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17
Rashard Lewis ,1998,"6' 8.5""",NA,190,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,32
Adebayo Akinkunle ,1998,"6' 8.5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Nick Davis ,1998,"6' 8.5""",NA,200,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Makhtar Ndiaye ,1998,"6' 8.5""",NA,245,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Donyell Marshall ,1994,"6' 8.5""",NA,218,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Juwan Howard ,1994,"6' 8.5""",NA,253,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5
Brian Grant ,1994,"6' 8.5""",NA,247,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8
Doug Smith ,1991,"6' 8.5""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
George Ackles ,1991,"6' 8.5""",NA,215,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,29
Dickie Simpkins ,1994,"6' 8.5""",NA,245,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21
John Amaechi ,1995,"6' 8.25""",NA,279,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Michael McDonald ,1995,"6' 8.25""",NA,211,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,55
Joseph Blair ,1996,"6' 8.25""",NA,251,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35
Roshown McLeod ,1998,"6' 8""",NA,221,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Ansu Sesay ,1998,"6' 8""",NA,223,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,30
Mirsad Turkcan ,1998,"6' 8""",NA,236,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,18
Rodney Elliott ,1998,"6' 8""",NA,223,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Winfred Walton ,1998,"6' 8""",NA,232,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Robert Horry ,1992,"6' 8""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11
Ed O'Bannon ,1995,"6' 8""",NA,222,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
Grant Hill ,1994,"6' 8""",NA,230,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Chris Gatling ,1991,"6' 8""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,16
Victor Alexander ,1991,"6' 8""",NA,289,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17
Shaun Vandiver ,1991,"6' 8""",NA,257,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25
Peja Stojakovic ,1996,"6' 8""",NA,200,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14
Jerome Williams ,1996,"6' 8""",NA,204,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,26
Antawn Jamison ,1998,"6' 7.75""",NA,230,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Kurt Thomas ,1995,"6' 7.75""",NA,221,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
Jason Caffey ,1995,"6' 7.75""",NA,244,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Mark Hendrickson ,1996,"6' 7.75""",NA,229,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,31
Arthur Long ,1996,"6' 7.75""",NA,253,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Russ Millard ,1996,"6' 7.75""",NA,243,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,39
Glen Davis ,2007,"6' 7.75""","6' 9""",298,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35
Robert Traylor ,1998,"6' 7.5""",NA,288,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Bobby Brannen ,1998,"6' 7.5""",NA,232,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Marko Tusek ,1998,"6' 7.5""",NA,261,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Jamal Mashburn ,1993,"6' 7.5""",NA,239,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Rodney Rogers ,1993,"6' 7.5""",NA,260,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
George Lynch ,1993,"6' 7.5""",NA,223,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,12
Monty Williams ,1994,"6' 7.5""",NA,227,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24
Dontonio Wingfield ,1994,"6' 7.5""",NA,246,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,37
Deon Thomas ,1994,"6' 7.5""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28
Othella Harrington ,1996,"6' 7.5""",NA,232,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,30
John Thomas ,1997,"6' 7.5""",NA,260,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25
Mark Randall ,1991,"6' 7.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,26
Jumaine Jones ,1999,"6' 7.5""",NA,218,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27
Wally Szczerbiak ,1999,"6' 7.5""",NA,243,NA,NA,NA,0,0,29,NA,33,NA,NA,NA,NA,NA,6
Kenny Payne ,1989,"6' 7.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Theron Wilson ,1996,"6' 7.25""",NA,203,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Danny Fortson ,1997,"6' 7.25""",NA,257,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
DeMarco Johnson ,1998,"6' 7""",NA,244,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,38
Clayton Shields ,1998,"6' 7""",NA,211,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Tremaine Fowlkes ,1998,"6' 7""",NA,208,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,54
Michael Maddox ,1998,"6' 7""",NA,217,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Popeye Jones ,1992,"6' 7""",NA,264,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,41
Junior Burrough ,1995,"6' 7""",NA,252,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,33
Calbert Cheaney ,1993,"6' 7""",NA,215,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6
Doug Edwards ,1993,"6' 7""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
Glenn Robinson ,1994,"6' 7""",NA,240,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
Billy Owens ,1991,"6' 7""",NA,225,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Eric Williams ,1995,"6' 6.75""",NA,213,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14
Carlos Strong ,1996,"6' 6.75""",NA,244,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Ben Davis ,1996,"6' 6.75""",NA,253,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,43
Jerald Honeycutt ,1997,"6' 6.75""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,38
Chucky Brown ,1989,"6' 6.75""",NA,214,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,43
Kebu Stewart ,1997,"6' 6.5""",NA,244,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35
Matt Harpring ,1998,"6' 6.5""",NA,231,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
Korleone Young ,1998,"6' 6.5""",NA,213,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,40
Bennett Davison ,1998,"6' 6.5""",NA,214,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Jarod Stevenson ,1998,"6' 6.5""",NA,202,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Walt Williams ,1992,"6' 6.5""",NA,227,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7
Todd Day ,1992,"6' 6.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8
Gary Trent ,1995,"6' 6.5""",NA,252,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11
Scott Burrell ,1993,"6' 6.5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Lamond Murray ,1994,"6' 6.5""",NA,236,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7
Steve Smith ,1991,"6' 6.5""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5
Stacey Augmon ,1991,"6' 6.5""",NA,192,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
Shawn Marion ,1999,"6' 6.5""","6' 7.75""",220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
Devean George ,1999,"6' 6.5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23
Kenny Thomas ,1999,"6' 6.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,22
Randy White ,1989,"6' 6.5""",NA,256,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8
Bakari Hendrix ,1998,"6' 6.25""",NA,236,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Brent Barry ,1995,"6' 6.25""",NA,183,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,15
Sherrell Ford ,1995,"6' 6.25""",NA,202,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,26
Paul Pierce ,1998,"6' 6""",NA,229,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
Torraye Braggs ,1998,"6' 6""",NA,237,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,57
Tyrone Nesby ,1998,"6' 6""",NA,237,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Brett Roberts ,1992,"6' 6""",NA,234,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,54
Lou Roe ,1995,"6' 6""",NA,211,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,30
Petey Sessoms ,1995,"6' 6""",NA,184,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Anfernee Hardaway ,1993,"6' 6""",NA,200,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
Jalen Rose ,1994,"6' 6""",NA,231,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,13
Stephen Jackson ,1997,"6' 6""",NA,204,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,42
Michael Finley ,1995,"6' 5.75""",NA,204,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21
Donny Marshall ,1995,"6' 5.75""",NA,216,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,39
Corey Williams ,1996,"6' 5.75""",NA,202,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,33
Vince Carter ,1998,"6' 5.5""",NA,219,NA,NA,NA,0,0,36,NA,43,NA,NA,NA,NA,NA,5
Corey Benjamin ,1998,"6' 5.5""",NA,203,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,28
Tobey Bailey ,1998,"6' 5.5""",NA,213,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,45
Ricky Davis ,1998,"6' 5.5""",NA,201,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,21
Paul Culbertson ,1998,"6' 5.5""",NA,194,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Antonio Granger ,1998,"6' 5.5""",NA,209,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Josh Pittman ,1998,"6' 5.5""",NA,204,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Corliss Williamson ,1995,"6' 5.5""",NA,244,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,13
Larry Johnson ,1991,"6' 5.5""",NA,250,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
John Turner ,1991,"6' 5.5""",NA,228,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Tariq Abdul Wahad ,1997,"6' 5.5""",NA,216,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11
Stanley Brundy ,1989,"6' 5.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,32
Clarence Weatherspoon ,1992,"6' 5.25""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,9
Ryan Minor ,1996,"6' 5.25""",NA,222,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,32
Jimmy Jackson ,1992,"6' 5.25""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4
Ruben Patterson ,1998,"6' 5""",NA,224,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,31
Bonzi Wells ,1998,"6' 5""",NA,213,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11
Mike Campbell ,1998,"6' 5""",NA,194,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Mark Jones ,1998,"6' 5""",NA,216,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Bryant Stith ,1992,"6' 5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,13
Jason Sasser ,1996,"6' 5""",NA,220,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,41
Ray Allen ,1996,"6' 5""",NA,198,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5
Tom Kleinschmidt ,1995,"6' 4.76""",NA,221,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Felipe Lopez ,1998,"6' 4.75""",NA,198,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24
Shandon Anderson ,1996,"6' 4.75""",NA,204,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,54
Jaron Boone ,1996,"6' 4.75""",NA,194,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Larry Hughes ,1998,"6' 4.5""",NA,183,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8
Latrell Sprewell ,1992,"6' 4.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,24
Jerry Stackhouse ,1995,"6' 4.5""",NA,208,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3
JR Rider ,1993,"6' 4.5""",NA,218,NA,NA,NA,0,0,NA,NA,41,NA,NA,NA,NA,NA,5
Aaron McKie ,1994,"6' 4.5""",NA,216,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,17
Tony Dumas ,1994,"6' 4.5""",NA,190,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,19
Steve Hood ,1991,"6' 4.5""",NA,,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,42
Nick Anderson ,1989,"6' 4.5""",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,11
Lawrence Moten ,1995,"6' 4.25""",NA,183,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,36
Fred Hoiberg ,1995,"6' 4.25""",NA,203,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,52
Doron Sheffer ,1996,"6' 4.25""",NA,192,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,36
Donta Bright ,1996,"6' 4.25""",NA,229,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Sam Jacobson ,1998,"6' 4""",NA,219,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,26
Tim Cole ,1998,"6' 4""",NA,205,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,No
Derrick Dial ,1998,"6' 4""",NA,184,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,52
Hubert Davis ,1992,"6' 4""",NA,183,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20
Byron Houston ,1992,"6' 4""",NA,247,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,27
